"DateTime","Average","Trendwood Omaha A","Trendwood Omaha B"
"2026-01-20 10:30:00",15.3,15,13
"2026-01-20 10:40:00",,12,13
"2026-01-20 10:50:00",,12,13
"2026-01-20 11:00:00",,11,12
"2026-01-20 11:10:00",,12,11
"2026-01-20 11:20:00",,12,12
"2026-01-20 11:30:00",,11,12
"2026-01-20 11:40:00",,12,11
"2026-01-20 11:50:00",,11,12
"2026-01-20 12:00:00",,12,13
"2026-01-20 12:10:00",,23,23
"2026-01-20 12:20:00",,14,16
"2026-01-20 12:30:00",,12,11
"2026-01-20 12:40:00",,10,11
"2026-01-20 12:50:00",,12,12
"2026-01-20 13:00:00",,10,12
"2026-01-20 13:10:00",,11,12
"2026-01-20 13:20:00",,11,11
"2026-01-20 13:30:00",,10,11
"2026-01-20 13:40:00",,11,11
"2026-01-20 13:50:00",,9,11
"2026-01-20 14:00:00",,11,12
"2026-01-20 14:10:00",,11,13
"2026-01-20 14:20:00",,13,14
"2026-01-20 14:30:00",,13,15
"2026-01-20 14:40:00",,13,13
"2026-01-20 14:50:00",,13,13
"2026-01-20 15:00:00",,11,12
"2026-01-20 15:10:00",,12,13
"2026-01-20 15:20:00",,13,12
"2026-01-20 15:30:00",,12,13
"2026-01-20 15:40:00",,14,15
"2026-01-20 15:50:00",,23,23
"2026-01-20 16:00:00",,17,18
"2026-01-20 16:10:00",,15,17
"2026-01-20 16:20:00",,15,17
"2026-01-20 16:30:00",,18,20
"2026-01-20 16:40:00",,22,25
"2026-01-20 16:50:00",,28,27
"2026-01-20 17:00:00",,56,56
"2026-01-20 17:10:00",,75,76
"2026-01-20 17:20:00",,90,89
"2026-01-20 17:30:00",,98,96
"2026-01-20 17:40:00",,96,94
"2026-01-20 17:50:00",,87,87
"2026-01-20 18:00:00",,60,61
"2026-01-20 18:10:00",,40,38
"2026-01-20 18:20:00",,28,32
"2026-01-20 18:30:00",,24,25
"2026-01-20 18:40:00",,23,25
"2026-01-20 18:50:00",,26,24
"2026-01-20 19:00:00",,27,27
"2026-01-20 19:10:00",,26,28
"2026-01-20 19:20:00",,28,28
"2026-01-20 19:30:00",,28,30
"2026-01-20 19:40:00",,28,28
"2026-01-20 19:50:00",,28,28
"2026-01-20 20:00:00",,29,31
"2026-01-20 20:10:00",,31,32
"2026-01-20 20:20:00",,33,35
"2026-01-20 20:30:00",,35,36
"2026-01-20 20:40:00",,38,38
"2026-01-20 20:50:00",,37,38
"2026-01-20 21:00:00",,38,40
"2026-01-20 21:10:00",,39,37
"2026-01-20 21:20:00",,35,34
"2026-01-20 21:30:00",,32,33
"2026-01-20 21:40:00",,35,31
"2026-01-20 21:50:00",,32,33
"2026-01-20 22:00:00",,33,32
"2026-01-20 22:10:00",,33,31
"2026-01-20 22:20:00",,38,34
"2026-01-20 22:30:00",,40,38
"2026-01-20 22:40:00",,28,28
"2026-01-20 22:50:00",,27,27
"2026-01-20 23:00:00",,28,28
"2026-01-20 23:10:00",,31,30
"2026-01-20 23:20:00",,41,43
"2026-01-20 23:30:00",,51,52
